count,double_delay,double_harvest,double_plant,label,latitude,longitude,onset,single_delay,single_harvest,single_plant,total_planted_area_km2,year
3025,,,,8394390,-11.12566338,-58.37452314,38,,,,,2004
3080,,,,8490150,-11.37494587,-58.37452314,38,,,,,2004
3080,,,,19233100,-11.62647415,-58.37452314,38,,,,,2004
3025,,,,21142800,-11.87575665,-58.37452314,38,,,,,2004
3080,,,,23132928,-12.12503914,-58.37452314,60,,,,,2004
3025,58.83797757,199.4879776,116.8379776,22731072,-12.37432163,-58.37452314,58,71.83827587,243.4003405,129.8382759,0.242624953,2004
3080,46.47245387,232.7224539,104.4724539,23831808,-12.62360412,-58.37452314,58,69.41242098,232.862421,127.412421,0.242393211,2004
3080,,,,22748544,-12.8751324,-58.37452314,58,61.57524809,226.8666274,119.5752481,0.242207984,2004
3025,,,,21512400,-13.12441489,-58.37452314,58,,,,,2004
3080,27.74372094,203.7054424,85.74372094,20962812,-13.37369738,-58.37452314,58,48.24807703,216.0834936,106.248077,0.241736906,2004
3080,36.66101891,205.0338732,94.66101891,22940619,-13.62522566,-58.37452314,58,57.5602122,220.9534568,115.5602122,0.241564141,2004
3025,,,,24080790,-13.87450815,-58.37452314,58,,,,,2004
3080,,,,22467120,-14.12379064,-58.37452314,58,,,,,2004
3080,47.08223138,211.9359553,109.0822314,17512150,-14.37531892,-58.37452314,62,44.87689475,215.6574352,106.8768947,0.240653031,2004
3025,46.42191585,207.8719159,102.4219159,20347290,-14.62460141,-58.37452314,56,57.99627168,218.7447748,113.9962717,0.240591219,2004
3080,,,,14297367,-14.87388391,-58.37452314,56,,,,,2004
3080,,,,19831500,-15.12541219,-58.37452314,56,,,,,2004
3025,,,,21418800,-15.37469468,-58.37452314,56,,,,,2004
3080,,,,22358700,-15.62397717,-58.37452314,56,,,,,2004
3080,,,,22846200,-15.87550545,-58.37452314,56,,,,,2004
993,,,,9569564,-7.447062295,-58.11850329,29,,,,,2004
2850,,,,7329924,-7.635708504,-58.11401171,30,,,,,2004
3136,,,,10508608,-7.876007843,-58.12524065,30,,,,,2004
3080,,,,10967274,-8.125290334,-58.12524065,30,,,,,2004
3136,,,,7133472,-8.374572825,-58.12524065,43,,,,,2004
3136,,,,7224864,-8.626101105,-58.12524065,43,,,,,2004
3080,,,,7344000,-8.875383596,-58.12524065,57,,,,,2004
3136,,,,7288512,-9.124666088,-58.12524065,57,,,,,2004
3136,,,,5045760,-9.376194367,-58.12524065,38,,,,,2004
3080,,,,6634080,-9.625476859,-58.12524065,38,,,,,2004
3136,,,,7364400,-9.87475935,-58.12524065,57,,,,,2004
3136,,,,7308300,-10.12628763,-58.12524065,38,,,,,2004
3080,,,,8044400,-10.37557012,-58.12524065,38,,,,,2004
3136,,,,9566000,-10.62485261,-58.12524065,38,,,,,2004
3136,,,,11045835,-10.87638089,-58.12524065,38,,,,,2004
3080,,,,8531190,-11.12566338,-58.12524065,38,,,,,2004
3136,,,,7137000,-11.37494587,-58.12524065,38,,,,,2004
3136,,,,19581100,-11.62647415,-58.12524065,38,,,,,2004
3080,,,,21525000,-11.87575665,-58.12524065,38,,,,,2004
3136,,,,20651400,-12.12503914,-58.12524065,38,,,,,2004
3080,,,,20718600,-12.37432163,-58.12524065,38,73.51715411,216.7876525,111.5171541,0.242596234,2004
3136,26.39482206,200.3384634,84.39482206,23805600,-12.62360412,-58.12524065,58,59.30828243,225.7874437,117.3082824,0.242430797,2004
3136,39.61167304,207.4682777,97.61167304,23753184,-12.8751324,-58.12524065,58,60.48453797,224.6427045,118.484538,0.242241875,2004
3080,30.87625,205.4300408,88.87625,22805328,-13.12441489,-58.12524065,58,57.82439045,224.3453679,115.8243904,0.241994031,2004
3136,32.90919488,207.6226324,90.90919488,20442240,-13.37369738,-58.12524065,58,62.22251564,224.3761711,120.2225156,0.241783031,2004
3136,,,,23414832,-13.62522566,-58.12524065,58,,,,,2004
3080,63.85206241,231.1063873,121.8520624,21907435,-13.87450815,-58.12524065,58,61.48708586,221.5309421,119.4870859,0.241198297,2004
3136,52.06984659,208.2184698,102.0698466,19510416,-14.12379064,-58.12524065,50,71.3388733,235.762163,121.3388733,0.241078844,2004
3136,45.68962732,201.1396273,95.68962732,20175010,-14.37531892,-58.12524065,50,45.87897244,203.7189168,95.87897244,0.240794734,2004
3080,,,,20866446,-14.62460141,-58.12524065,56,,,,,2004
3136,,,,20984550,-14.87388391,-58.12524065,56,,,,,2004
3136,,,,19741800,-15.12541219,-58.12524065,56,,,,,2004
3080,,,,21867300,-15.37469468,-58.12524065,56,,,,,2004
3136,,,,17198458,-15.62397717,-58.12524065,56,,,,,2004
3136,,,,22977150,-15.87550545,-58.12524065,56,71.59555487,233.0455549,127.5955549,0.239231547,2004
