system:index,Muni_code_median,Muni_code_sum,count,double_area_km2_median,double_area_km2_sum,double_delay_median,double_delay_sum,double_harvest_median,double_harvest_sum,double_plant_median,double_plant_sum,label,latitude_median,latitude_sum,longitude_median,longitude_sum,onset_historicalRange_median,onset_historicalRange_sum,onset_median,onset_sum,single_area_km2_median,single_area_km2_sum,single_delay_median,single_delay_sum,single_harvest_median,single_harvest_sum,single_plant_median,single_plant_sum,total_planted_area_km2_median,total_planted_area_km2_sum,year_median,year_sum
0_+3506+3450,5106158,1.60E+10,3136,,0,,0,,0,,0,6958848,-9.124666088,-28614.95285,-58.62380563,-183844.2545,32,100352,38,119168,,0,,0,,0,,0,,0,2004,6284544
0_+3506+3506,5103379,1.60E+10,3136,,0,,0,,0,,0,7472928,-9.376194367,-29403.74554,-58.62380563,-183844.2545,32,100352,57,178752,,0,,0,,0,,0,,0,2004,6284544
0_+3506+3561,5103379,1.57E+10,3080,,0,,0,,0,,0,7412000,-9.625476859,-29646.46872,-58.62380563,-180561.3213,32,98560,38,117040,,0,,0,,0,,0,,0,2004,6172320
0_+3506+3617,5103379,1.60E+10,3136,,0,,0,,0,,0,7670400,-9.87475935,-30967.24532,-58.62380563,-183844.2545,32,100352,38,119168,,0,,0,,0,,0,,0,2004,6284544
0_+3506+3673,5103379,1.60E+10,3136,,0,,0,,0,,0,9696000,-10.12628763,-31756.03801,-58.62380563,-183844.2545,31,97216,38,119168,,0,,0,,0,,0,,0,2004,6284544
0_+3506+3728,5105176,1.57E+10,3080,,0,,0,,0,,0,7405320,-10.37557012,-31956.75597,-58.62380563,-180561.3213,31,95480,38,117040,,0,,0,,0,,0,,0,2004,6172320
0_+3506+3784,5105176,1.60E+10,3136,,0,,0,,0,,0,7388160,-10.62485261,-33319.53779,-58.62380563,-183844.2545,32,100352,38,119168,,0,,0,,0,,0,,0,2004,6284544
0_+3506+3840,5102850,1.60E+10,3136,,0,,0,,0,,0,7112080,-10.87638089,-34108.33048,-58.62380563,-183844.2545,33,103488,38,119168,,0,,0,,0,,0,,0,2004,6284544
0_+3506+3895,5102850,1.57E+10,3080,,0,,0,,0,,0,13684788,-11.12566338,-34267.04322,-58.62380563,-180561.3213,49,150920,38,117040,,0,,0,,0,,0,,0,2004,6172320
0_+3506+3951,5105150,1.60E+10,3136,,0,,0,,0,,0,13714272,-11.37494587,-35671.83026,-58.62380563,-183844.2545,51,159936,38,119168,,0,,0,,0,,0,,0,2004,6284544
