label,p1_lowerBoundError,p1_upperBoundError
-79089923,36.64442145,-8.355578554
-79098906,30.99107584,-9.00892416
-79107890,17.45956414,-13.54043586
-79116873,9.72165895,-21.27834105
-79125856,19.91403303,-16.08596697
-79058483,21.95518008,-19.04481992
-79067466,29.74487722,-11.25512278
-79085432,3.532324551,-41.46767545
-79094415,26.73837426,-4.261625735
-79089923,25.38610532,-19.61389468
-79098906,29.1624865,-1.837513503
-79107889,49.57155096,18.57155096
-79116873,3.796680529,-36.20331947
-79058482,19.25824939,-11.74175061
-79103398,27.74237347,-17.25762653
-79112381,24.83819268,-20.16180732
-79121365,36.18493413,-8.81506587
-79071957,12.88823291,-18.11176709
-79080940,6.610979167,-24.38902083
-79107889,42.42575587,11.42575587
-79116872,7.18043369,-23.81956631
-79125856,34.30589714,3.30589714
-79067465,17.22159062,-13.77840938
-79076449,15.93192931,-15.06807069
-79094415,5.829132315,-25.17086768
-79089924,8.345723621,-22.65427638
-79107890,20.24017242,-10.75982758
-79125856,11.80841599,-29.19158401
-79134840,14.20476735,-16.79523265
-79103398,10.75316333,-20.24683667
-79112381,23.95610043,-7.04389957
-79121364,20.6379878,-10.3620122
-79130347,18.47207226,-22.52792774
-79139331,45.40421476,15.40421476
