system:index,bucketMean,count,year,.geo
4_16,18.75,0,2007,
4_17,19.25,0,2007,
4_18,19.75,0,2007,
4_19,20.25,0,2007,
4_20,20.75,0,2007,
4_21,21.25,0,2007,
4_22,21.75,0,2007,
4_23,22.25,0,2007,
4_24,22.75,0,2007,
4_25,23.25,0,2007,
4_26,23.75,0,2007,
4_27,24.25,0,2007,
4_28,24.51520494,1,2007,
4_29,25.25,0,2007,
4_30,25.75,0,2007,
4_31,26.25,0,2007,
4_32,26.75,0,2007,
4_33,27.25,0,2007,
4_34,27.75,0,2007,
4_35,28.25,0,2007,
4_36,28.75,0,2007,
4_37,29.25,0,2007,
4_38,29.61131446,1,2007,
4_39,30.25,0,2007,
4_40,30.75,0,2007,
4_41,31.25,0,2007,
4_42,31.75,0,2007,
4_43,32.25,0,2007,
4_44,32.75,0,2007,
4_45,33.25,0,2007,
4_46,33.75,0,2007,
4_47,34.25,0,2007,
4_48,34.75,0,2007,
4_49,35.25,0,2007,
4_50,35.75,0,2007,
4_51,36.25,0,2007,
4_52,36.75,0,2007,
4_53,37.25,0,2007,
4_54,37.75,0,2007,
4_55,38.25,0,2007,
4_56,38.75,0,2007,
4_57,39.25,0,2007,
4_58,39.88583461,2,2007,
4_59,40.25,0,2007,
4_60,40.7526293,1,2007,
4_61,41.25,0,2007,
4_62,41.75,0,2007,
4_63,42.36486574,1,2007,
4_64,42.75,0,2007,
4_65,43.25,0,2007,
4_66,43.93133901,2,2007,
4_67,44.25,0,2007,
4_68,44.83115728,1,2007,
4_69,45.25,0,2007,
4_70,45.96628346,1,2007,
4_71,46.25464171,2,2007,
4_72,46.96466673,5,2007,
4_73,47.25,0,2007,
4_74,47.62960049,1,2007,
4_75,48.13564817,1,2007,
4_76,48.75,0,2007,
4_77,49.49291946,1,2007,
4_78,49.696246,1,2007,
4_79,50.25,0,2007,
4_80,50.64777069,1,2007,
4_81,51.34814669,2,2007,
4_82,51.7482454,1,2007,
4_83,52.37297901,1,2007,
4_84,52.75,0,2007,
4_85,53.20048127,3,2007,
4_86,53.75,0,2007,
4_87,54.3261644,4,2007,
4_88,54.75,0,2007,
4_89,55.30455531,6,2007,
4_90,55.83214567,3,2007,
4_91,56.18182397,2,2007,
4_92,56.73289128,4,2007,
4_93,57.48123611,2,2007,
4_94,57.66705613,4,2007,
4_95,58.31074824,2,2007,
4_96,58.58770096,2,2007,
4_97,59.44680922,2,2007,
4_98,59.65560888,5,2007,
4_99,60.20123397,7,2007,
4_100,60.5337684,2,2007,
4_101,61.18224809,9,2007,
4_102,61.71219837,3,2007,
4_103,62.45712061,1,2007,
4_104,62.94229621,2,2007,
4_105,63.21180133,6,2007,
4_106,63.66927951,3,2007,
4_107,64.10751179,2,2007,
4_108,64.57949782,4,2007,
4_109,65.27547962,9,2007,
4_110,65.74398157,6,2007,
4_111,66.26968034,4,2007,
4_112,66.82686805,5,2007,
4_113,67.21970694,7,2007,
4_114,67.77319607,2,2007,
4_115,68.32965161,4,2007,
4_116,68.74154586,9,2007,
4_117,69.23576141,6,2007,
4_118,69.77142367,6,2007,
4_119,70.27774664,5,2007,
4_120,70.79285024,9,2007,
4_121,71.32373036,12,2007,
4_122,71.82477694,11,2007,
4_123,72.23005401,6,2007,
4_124,72.72773685,10,2007,
4_125,73.24413244,8,2007,
4_126,73.7993949,13,2007,
4_127,74.33328969,9,2007,
4_128,74.79825523,13,2007,
4_129,75.25724337,12,2007,
4_130,75.70920017,12,2007,
4_131,76.34734609,12,2007,
4_132,76.68822757,20,2007,
4_133,77.30508714,16,2007,
4_134,77.76230476,17,2007,
4_135,78.25704454,18,2007,
4_136,78.71076319,19,2007,
4_137,79.23686222,8,2007,
4_138,79.75793908,9,2007,
4_139,80.15713372,11,2007,
4_140,80.76791338,16,2007,
4_141,81.19024685,12,2007,
4_142,81.74267669,23,2007,
4_143,82.3051982,13,2007,
4_144,82.69972361,14,2007,
4_145,83.29161646,14,2007,
4_146,83.6868029,16,2007,
4_147,84.177855,10,2007,
4_148,84.70558583,15,2007,
4_149,85.18452725,11,2007,
4_150,85.77921378,15,2007,
4_151,86.24456559,12,2007,
4_152,86.7680382,13,2007,
4_153,87.21939114,10,2007,
4_154,87.79185592,14,2007,
4_155,88.3743515,5,2007,
4_156,88.79194186,8,2007,
4_157,89.26694649,6,2007,
4_158,89.77974891,11,2007,
4_159,90.30998789,14,2007,
4_160,90.7947148,11,2007,
4_161,91.19215255,11,2007,
4_162,91.70255422,9,2007,
4_163,92.17827459,10,2007,
4_164,92.76482482,7,2007,
4_165,93.2173603,12,2007,
4_166,93.73114557,9,2007,
4_167,94.26971181,5,2007,
4_168,94.81686019,8,2007,
4_169,95.27759171,7,2007,
4_170,95.74268223,5,2007,
4_171,96.20837526,5,2007,
4_172,96.85541472,3,2007,
4_173,97.25586933,5,2007,
4_174,97.72818006,5,2007,
4_175,98.18702921,7,2007,
4_176,98.80176113,5,2007,
4_177,99.28267476,4,2007,
4_178,99.73911176,5,2007,
4_179,100.1033514,3,2007,
4_180,100.7689425,7,2007,
4_181,101.2901843,5,2007,
4_182,101.8155466,8,2007,
4_183,102.2760307,8,2007,
4_184,102.8545752,4,2007,
4_185,103.3097436,2,2007,
4_186,103.610758,1,2007,
4_187,104.3640751,3,2007,
4_188,104.75,0,2007,
4_189,105.3283661,3,2007,
4_190,105.6104638,3,2007,
4_191,106.2295401,2,2007,
4_192,106.6928493,2,2007,
4_193,107.2707846,3,2007,
4_194,107.6244613,3,2007,
4_195,108.0010988,1,2007,
4_196,108.7671914,4,2007,
4_197,109.3629155,2,2007,
4_198,109.6147756,1,2007,
4_199,110.2248933,2,2007,
